Invoice Number,Invoice Date,Due Date,Request ID,Customer Name,Customer GSTIN,Order ID,PO Number,Product,Quantity,Subtotal (₹),Adjustments (₹),Taxable Amount (₹),Tax Type,CGST (₹),SGST (₹),IGST (₹),Total Tax (₹),Grand Total (₹),Advance Paid (₹),Balance Due (₹),Payment Terms,Delivery Date,Delivery Challan
INV-2026-01-31-105911,2026-01-31,2026-01-31,INV-REQ-001,Quantum Materials,33AABQM7890P1Z5,ORD-001,PO/QM/2026/0198,Junction Box Cover PC/ABS,75,34800.0,3343.0,38143.0,IGST,0,0,6865.74,6865.74,45008.74,20880.0,24128.74,"30% advance, 70% on delivery",2026-03-17,DC-2026-001
INV-2026-01-31-105915,2026-01-31,2026-03-02,INV-REQ-002,PowerCable Co,08AABPC1234L1Z0,ORD-002,PO/PC/2026/0106,LED Light Fixture Cover PMMA,1000,373000.0,-14838.0,358162.0,IGST,0,0,64469.16,64469.16,422631.16,186500.0,236131.16,Net 30 days,2026-03-08,DC-2026-002
INV-2026-01-31-105920,2026-01-31,2026-02-15,INV-REQ-003,Apex Plastics,24AABAP3456O1Z1,ORD-003,PO/AP/2026/0340,Wire Harness Insulation TPE,150,66000.0,4734.0,70734.0,IGST,0,0,12732.12,12732.12,83466.12,33000.0,50466.12,"50% advance, 25% on delivery, 25% within 15 days",2026-02-23,DC-2026-003
INV-2026-01-31-105923,2026-01-31,2026-03-02,INV-REQ-004,BuildCo,27AABCB9012E1Z3,ORD-004,PO/B/2026/0023,Electronics Housing PP V-0,400,158400.0,-2234.0,156166.0,CGST+SGST,14054.94,14054.94,0,28109.88,184275.88,87120.0,97155.88,"25% advance, 75% within 30 days",2026-03-22,DC-2026-004
INV-2026-01-31-105926,2026-01-31,2026-01-31,INV-REQ-005,SafetyFirst Manufacturing,24AABSF5678M1Z3,ORD-005,PO/SM/2026/0219,Medical Device Housing PC,200,123600.0,3510.0,127110.0,IGST,0,0,22879.8,22879.8,149989.8,55620.0,94369.8,"30% advance, 70% on delivery",2026-03-07,DC-2026-005
INV-2026-01-31-105929,2026-01-31,2026-01-31,INV-REQ-006,Apex Plastics,24AABAP3456O1Z1,ORD-006,PO/AP/2026/0536,Cable Insulation Standard PVC K70,150,57450.0,4671.0,62121.0,IGST,0,0,11181.78,11181.78,73302.78,28725.0,44577.78,"50% advance, balance on delivery",2026-02-14,DC-2026-006
INV-2026-01-31-105933,2026-01-31,2026-03-02,INV-REQ-007,SmartWire Ltd,19AABCS6789K1Z6,ORD-007,PO/SL/2026/0206,Sensor Housing HDPE,300,160500.0,690.0,161190.0,IGST,0,0,29014.2,29014.2,190204.2,72225.0,117979.2,"25% advance, 75% within 30 days",2026-02-24,DC-2026-007
INV-2026-01-31-105936,2026-01-31,2026-03-02,INV-REQ-008,Elite Manufacturing,27AABEM5678R1Z2,ORD-008,PO/EM/2026/0763,Electrical Cable Insulation PVC K67 V-0,750,366000.0,-10450.0,355550.0,CGST+SGST,31999.5,31999.5,0,63999.0,419549.0,146400.0,273149.0,100% advance,2026-03-01,DC-2026-008
INV-2026-01-31-105940,2026-01-31,2026-03-02,INV-REQ-009,Apex Plastics,24AABAP3456O1Z1,ORD-009,PO/AP/2026/0027,Solar Panel Junction Box PP,250,78500.0,-117.0,78383.0,IGST,0,0,14108.94,14108.94,92491.94,43175.0,49316.94,100% advance,2026-03-08,DC-2026-009
INV-2026-01-31-105944,2026-01-31,2026-03-02,INV-REQ-010,Acme Corp,27AABCU9603R1ZX,ORD-010,PO/AC/2026/0606,Electrical Cable Insulation PVC K67 V-0,50,23300.0,3542.0,26842.0,CGST+SGST,2415.78,2415.78,0,4831.56,31673.56,11650.0,20023.56,"25% advance, 75% within 30 days",2026-02-25,DC-2026-010
INV-2026-01-31-105948,2026-01-31,2026-03-02,INV-REQ-011,Global Manufacturing,33AABCG5678D1Z9,ORD-011,PO/GM/2026/0144,Cable Insulation Standard PVC K70,200,61800.0,-80.0,61720.0,IGST,0,0,11109.6,11109.6,72829.6,27810.0,45019.6,"25% advance, 75% within 30 days",2026-02-24,DC-2026-011
INV-2026-01-31-105952,2026-01-31,2026-03-02,INV-REQ-012,Acme Corp,27AABCU9603R1ZX,ORD-012,PO/AC/2026/0522,Cable Insulation Standard PVC K70,200,83000.0,-316.0,82684.0,CGST+SGST,7441.56,7441.56,0,14883.12,97567.12,37350.0,60217.12,"25% advance, 75% within 30 days",2026-03-28,DC-2026-012
INV-2026-01-31-105955,2026-01-31,2026-03-02,INV-REQ-013,NextGen Products,09AABNG1234Q1Z9,ORD-013,PO/NP/2026/0363,Electrical Cable Insulation PVC K67 V-0,750,270000.0,-7084.0,262916.0,IGST,0,0,47324.88,47324.88,310240.88,108000.0,202240.88,100% advance,2026-03-20,DC-2026-013
INV-2026-01-31-105959,2026-01-31,2026-01-31,INV-REQ-014,GreenTech Industries,23AABGT9012N1Z7,ORD-014,PO/GI/2026/0708,Medical Device Housing PC,750,408000.0,-13342.0,394658.0,IGST,0,0,71038.44,71038.44,465696.44,224400.0,241296.44,"50% advance, balance on delivery",2026-02-16,DC-2026-014
INV-2026-01-31-110003,2026-01-31,2026-03-02,INV-REQ-015,ProTech Systems,04AABPT9012S1Z6,ORD-015,PO/PS/2026/0230,Control Panel Enclosure ABS,250,103500.0,1968.0,105468.0,IGST,0,0,18984.24,18984.24,124452.24,51750.0,72702.24,100% advance,2026-03-12,DC-2026-015
INV-2026-01-31-110007,2026-01-31,2026-03-02,INV-REQ-016,Acme Corp,27AABCU9603R1ZX,ORD-016,PO/AC/2026/0945,Electrical Cable Insulation PVC K67 V-0,75,34275.0,1624.0,35899.0,CGST+SGST,3230.91,3230.91,0,6461.82,42360.82,20565.0,21795.82,"25% advance, 75% within 30 days",2026-03-10,DC-2026-016
INV-2026-01-31-110010,2026-01-31,2026-02-15,INV-REQ-017,ProTech Systems,04AABPT9012S1Z6,ORD-017,PO/PS/2026/0717,Electronics Housing PP V-0,150,80550.0,3064.0,83614.0,IGST,0,0,15050.52,15050.52,98664.52,32220.0,66444.52,"50% advance, 25% on delivery, 25% within 15 days",2026-03-22,DC-2026-017
INV-2026-01-31-110014,2026-01-31,2026-01-31,INV-REQ-018,SmartWire Ltd,19AABCS6789K1Z6,ORD-018,PO/SL/2026/0282,Medical Device Housing PC,300,135300.0,-1491.0,133809.0,IGST,0,0,24085.62,24085.62,157894.62,67650.0,90244.62,"30% advance, 70% on delivery",2026-03-03,DC-2026-018
