Request ID,Formulation ID,Base Polymer,Key Additives,Cost (₹/kg),UL94 Rating,Tensile (MPa),LOI (%),RoHS,REACH,Recommendation,AI Confidence
RND001,FORM_20260131_112013,PVC K70,Calcium Carbonate,58,HB,50,30,True,True,LABORATORY TESTING REQUIRED,N/A
RND002,FORM_20260131_112013,PVC K70,Calcium Carbonate,58,HB,50,30,True,True,LABORATORY TESTING REQUIRED,N/A
RND003,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND004,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",76,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND005,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND006,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND007,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",76,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND008,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND009,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND010,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND011,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND012,FORM_20260131_112013,PVC K70,Calcium Carbonate,58,HB,50,30,True,True,LABORATORY TESTING REQUIRED,N/A
RND013,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND014,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND015,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND016,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND017,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND018,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
RND019,FORM_20260131_112013,PVC K67,"ATH, Zinc Borate",82,V-0,44,30,True,True,PROCEED TO PILOT BATCH,N/A
