Quote ID,Request ID,Customer,Product,Quantity,Material Cost (₹),Production Cost (₹),Quality Cost (₹),Risk Premium (₹),Subtotal (₹),Profit Margin %,Profit Amount (₹),Total Before Tax (₹),GST (₹),Grand Total (₹),Unit Price (₹),Lead Time (days),Valid Until,Payment Terms
QT_20260131_111702,QR001,PowerCable Co,widget_e,300,16783.2,26208.0,1000,6448.68,50439.88,35.0,17653.96,98593.84,17746.89,116340.73,387.8,9,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111706,QR002,Apex Plastics,widget_a,100,11699.64,8904.0,1000,0,21603.64,25.0,5400.91,37504.55,6750.82,44255.37,442.55,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111710,QR003,FastTrack Ltd,widget_c,200,14705.28,15092.0,1500,1489.86,32787.14,25.0,8196.78,71483.92,12867.11,84351.03,421.76,8,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111713,QR004,Universal Components,widget_d,750,85050.0,53004.0,1500,34513.5,174067.5,40.0,69627.0,319194.5,57455.01,376649.51,502.2,12,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111717,QR005,SmartWire Ltd,widget_d,200,6633.36,10164.0,1000,1679.74,19477.1,25.0,4869.28,44846.38,8072.35,52918.73,264.59,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111720,QR006,Universal Components,widget_d,1000,82231.2,71512.0,1500,30748.64,185991.84,35.0,65097.14,351588.98,63286.02,414875.0,414.87,15,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111724,QR007,Apex Plastics,widget_c,150,18098.64,8400.0,1000,0,27498.64,25.0,6874.66,57373.3,10327.19,67700.49,451.34,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111727,QR008,ProTech Systems,widget_a,200,15759.36,12040.0,1500,0,29299.36,25.0,7324.84,57624.2,10372.36,67996.56,339.98,8,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111731,QR009,NextGen Products,widget_c,300,14009.76,15660.0,1000,4450.46,35120.22,35.0,12292.08,92912.3,16724.21,109636.51,365.46,7,2026-03-02,"50% advance, 50% on delivery"
QT_20260131_111734,QR010,Acme Corp,widget_d,25,1635.93,3150.0,1000,0,5785.93,25.0,1446.48,10232.41,1841.83,12074.24,482.97,6,2026-03-02,"50% advance, 50% on delivery"
